0x0046c0b0	
0x0046c0b2	銀河英雄伝説VIIスタータ のﾊﾞｰｼﾞｮﾝ情報(&A)...
0x0046c0f2	インストール
0x0046c100	アンインストール
0x0046c112	PDFマニュアル
0x0046c124	終了
0x0046c12a	Version 1.00
0x0046c144	Tahoma
0x0046c152	オンラインマニュアルの表示に失敗しました。
0x0046c17e	オンラインマニュアルの表示に失敗しました。\n『Adobe Acrobat Reader』が正しくインストールされているかご確認ください。
0x0046c208	現在インストールされているDirectXは、
0x0046c236	『銀河英雄伝説VII』のインストールが正常に終了しました。
0x0046c278	銀河英雄伝説VIIのインストール確認
0x0046c29e	Windowsの再起動
0x0046c2b6	Windowsの再起動に失敗しました。\n「スタート」メニューから「シャットダウン」を選んで、Windowsを再起動してください。
0x0046c338	ご使用のWindowsのバージョンが、DirectX9に適合していません。\nそのため、DirectX9のインストールに失敗しました。
0x0046c3be	DirectXがすでにインストールされているか、\nまたはDirectXのインストールに失敗しました。
0x0046c424	
0x0046c426	
0x0046c428	
0x0046c42a	
0x0046c42c	
0x0046c42e	
0x0046c430	
0x0046c432	
0x0046c434	
0x0046c436	
0x0046c438	
0x0046c440	開く
0x0046c446	名前を付けて保存
0x0046c458	すべてのﾌｧｲﾙ (*.*)
0x0046c476	無題
0x0046c47c	
0x0046c47e	
0x0046c480	無題のﾌｧｲﾙ
0x0046c490	
0x0046c492	
0x0046c494	
0x0046c496	
0x0046c498	
0x0046c49a	
0x0046c49c	
0x0046c49e	
0x0046c4a0	
0x0046c4a8	
0x0046c4aa	非表示(&H)
0x0046c4ba	
0x0046c4bc	
0x0046c4be	
0x0046c4c0	
0x0046c4c2	
0x0046c4c4	
0x0046c4c6	
0x0046c4c8	
0x0046c4ca	
0x0046c4cc	
0x0046c4ce	
0x0046c4d0	
0x0046c4d2	
0x0046c4d4	
0x0046c4d8	ｴﾗｰ ﾒｯｾｰｼﾞはありません。
0x0046c4fc	ｻﾎﾟｰﾄされていない操作を実行しました。
0x0046c528	必要なﾘｿｰｽを利用できませんでした。
0x0046c550	ﾒﾓﾘが不足しています。
0x0046c56a	不明なｴﾗｰが発生しました。
0x0046c588	
0x0046c58a	
0x0046c58c	
0x0046c58e	
0x0046c590	
0x0046c592	
0x0046c594	
0x0046c596	
0x0046c598	
0x0046c59a	
0x0046c59c	
0x0046c5a0	無効なﾌｧｲﾙ名です。
0x0046c5b8	ﾄﾞｷｭﾒﾝﾄを開くことに失敗しました。
0x0046c5e2	ﾄﾞｷｭﾒﾝﾄの保存に失敗しました。
0x0046c608	%1 への変更を保存しますか?
0x0046c628	空のﾄﾞｷｭﾒﾝﾄの作成に失敗しました。
0x0046c652	ﾌｧｲﾙが大きすぎて開けません。
0x0046c674	印刷ｼﾞｮﾌﾞを開始できませんでした。
0x0046c69c	ﾍﾙﾌﾟの起動に失敗しました。
0x0046c6bc	ｱﾌﾟﾘｹｰｼｮﾝの内部ｴﾗｰです。
0x0046c6e2	ｺﾏﾝﾄﾞの実行に失敗しました。
0x0046c704	ﾒﾓﾘ不足のため実行できません。
0x0046c726	ｼｽﾃﾑ ﾚｼﾞｽﾄﾘ ｴﾝﾄﾘは削除されています。また、INI ﾌｧｲﾙがある場合は、INI ﾌｧｲﾙも削除されました。
0x0046c7a2	一部のｼｽﾃﾑ ﾚｼﾞｽﾄﾘ ｴﾝﾄﾘ (または INI ﾌｧｲﾙ) は削除されませんでした。
0x0046c802	このﾌﾟﾛｸﾞﾗﾑにはﾌｧｲﾙ %s が必要ですがこのｼｽﾃﾑ上に見つかりませんでした。
